station_id,indexName,quantity_per_m3
8,ชนิดของแพลงก์ตอนพืช,34
8,ปริมาณแพลงก์ตอนพืช,47167000
8,ดัชนีความหลากหลายแพลงก์ตอนพืช,2.3161
8,ดัชนีความสม่ำเสมอแพลงก์ตอนพืช,0.6568
9,ชนิดของแพลงก์ตอนพืช,38
9,ปริมาณแพลงก์ตอนพืช,22288000
9,ดัชนีความหลากหลายแพลงก์ตอนพืช,2.1755
9,ดัชนีความสม่ำเสมอแพลงก์ตอนพืช,0.5981
10,ชนิดของแพลงก์ตอนพืช,31
10,ปริมาณแพลงก์ตอนพืช,22592000
10,ดัชนีความหลากหลายแพลงก์ตอนพืช,2.1369
10,ดัชนีความสม่ำเสมอแพลงก์ตอนพืช,0.6223
11,ชนิดของแพลงก์ตอนพืช,40
11,ปริมาณแพลงก์ตอนพืช,15747000
11,ดัชนีความหลากหลายแพลงก์ตอนพืช,2.3751
11,ดัชนีความสม่ำเสมอแพลงก์ตอนพืช,0.6439
