station_id,indexName,quantity_per_m3
8,ชนิดของแพลงก์ตอนสัตว์,8
8,ปริมาณแพลงก์ตอนสัตว์,200000
8,ดัชนีความหลากหลายแพลงก์ตอนสัตว์,1.7651
8,ดัชนีความสม่ำเสมอแพลงก์ตอนสัตว์,0.8488
9,ชนิดของแพลงก์ตอนสัตว์,7
9,ปริมาณแพลงก์ตอนสัตว์,630000
9,ดัชนีความหลากหลายแพลงก์ตอนสัตว์,1.2662
9,ดัชนีความสม่ำเสมอแพลงก์ตอนสัตว์,0.6507
10,ชนิดของแพลงก์ตอนสัตว์,7
10,ปริมาณแพลงก์ตอนสัตว์,458000
10,ดัชนีความหลากหลายแพลงก์ตอนสัตว์,1.4053
10,ดัชนีความสม่ำเสมอแพลงก์ตอนสัตว์,0.7222
11,ชนิดของแพลงก์ตอนสัตว์,5
11,ปริมาณแพลงก์ตอนสัตว์,222000
11,ดัชนีความหลากหลายแพลงก์ตอนสัตว์,0.9503
11,ดัชนีความสม่ำเสมอแพลงก์ตอนสัตว์,0.5905
