enhance_id,enhanceName,valueName,sub_id
1,EnhanceWDWS,Calm,1
2,EnhanceSO2,"ค่าเฉลี่ย 24 ชั่วโมง, ค่าเฉลี่ย 1 ชั่วโมงสูงสุด, ค่าเฉลี่ย 1 ชั่วโมงต่ำสุด",3
3,EnhanceNoiseLevelNormal,"Leq(24), Ldn, Lmax",6
4,EnhanceNoiseLevel90,Average,7
5,EnhanceMonitorresult,"ค่าต่ำสุด, ค่าสูงสุด",8
6,EnhancePlanktonPhytos,"ชนิดของแพลงก์ตอนพืช, ปริมาณแพลงก์ตอนพืช, ดัชนีความหลากหลายแพลงก์ตอนพืช, ดัชนีความสม่ำเสมอแพลงก์ตอนพืช",11
7,EnhancePlanktonZoo,"ชนิดของแพลงก์ตอนสัตว์, ปริมาณแพลงก์ตอนสัตว์, ดัชนีความหลากหลายแพลงก์ตอนสัตว์, ดัชนีความสม่ำเสมอแพลงก์ตอนสัตว์",12
8,EnhanceBenthos,"ชนิดของสัตว์หน้าดิน, ปริมาณสัตว์หน้าดิน, ค่าดัชนีความหลากหลายสัตว์หน้าดิน",13
9,EnhanceFishLarvaeEggs,"กลุ่มของลูกปลา, ปริมาณของลูกปลา, ค่าดัชนีความหลากหลายของลูกปลา, ปริมาณไข่ปลา",14
10,EnhanceJuvenileAquaticAnimals,"จำนวนกลุ่มของสัตว์น้ำวัยอ่อนทั้งหมด, ปริมาณของสัตว์น้ำวัยอ่อนทั้งหมด, ค่าดัชนีความหลากหลายของสัตว์น้ำวัยอ่อน",15
