timePeriod,day1st_result,day2nd_result,day3rd_result,certifiedDate,calibrationRefdB,slmRead,slmAdjust,calSheetNo,toolAnalyst,toolCalibration,company_id,station_id,reportBy
10:00 - 11:00,63.9,66.4,64.2,2567-04-09,94.0,93.7,0.0,CR-515-2024-154,1,2,1,1,1
Leq,64.2,64.4,63.5,2567-04-09,94.0,93.7,0.0,CR-515-2024-154,1,2,1,1,1
Ldn,68.1,68.2,67.8,2567-04-09,94.0,93.7,0.0,CR-515-2024-154,1,2,1,1,1
Lmax,95.5,96.0,92.1,2567-04-09,94.0,93.7,0.0,CR-515-2024-154,1,2,1,1,1
13:00 - 14:00,58.3,56.5,53.9,2567-04-09,94.0,93.7,0.0,CR-515-2024-154,1,2,1,2,1
Leq,55.1,56.6,55.5,2567-04-09,94.0,93.7,0.0,CR-515-2024-154,1,2,1,2,1
Ldn,60.4,62.7,61.9,2567-04-09,94.0,93.7,0.0,CR-515-2024-154,1,2,1,2,1
Lmax,82.4,88.3,88.4,2567-04-09,94.0,93.7,0.0,CR-515-2024-154,1,2,1,2,1
12:00 - 13:00,59.8,58.0,58.0,2567-04-09,94.0,93.7,0.0,CR-515-2024-154,1,2,1,3,1
Leq,60.0,59.3,59.0,2567-04-09,94.0,93.7,0.0,CR-515-2024-154,1,2,1,3,1
Ldn,65.8,65.0,66.1,2567-04-09,94.0,93.7,0.0,CR-515-2024-154,1,2,1,3,1
Lmax,87.3,87.3,87.3,2567-04-09,94.0,93.7,0.0,CR-515-2024-154,1,2,1,3,1
