record_Id,windDirection,ws_05_1,ws_1_2,ws_2_3,ws_3_4,ws_4_6,ws_more_that_6,ws_total,unit,sub_id,period_id,station_id,company_id,reportBy
1,N,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,m/s,1,1,1,1,1
2,NNE,0.0139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0139,m/s,1,1,1,1,1
3,NE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,m/s,1,1,1,1,1
4,ENE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,m/s,1,1,1,1,1
5,E,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,m/s,1,1,1,1,1
6,ESE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,m/s,1,1,1,1,1
7,SE,0.0139,0.0139,0.0000,0.0000,0.0000,0.0000,0.0278,m/s,1,1,1,1,1
8,SSE,0.0417,0.0278,0.0000,0.0000,0.0000,0.0000,0.0695,m/s,1,1,1,1,1
9,S,0.0972,0.0694,0.0278,0.0000,0.0000,0.0000,0.1944,m/s,1,1,1,1,1
10,SSW,0.0556,0.0556,0.0000,0.0000,0.0000,0.0000,0.1112,m/s,1,1,1,1,1
11,SW,0.0139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0139,m/s,1,1,1,1,1
12,WSW,0.0139,0.0278,0.0000,0.0000,0.0000,0.0000,0.0417,m/s,1,1,1,1,1
13,W,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,m/s,1,1,1,1,1
14,WNW,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,m/s,1,1,1,1,1
15,NW,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,m/s,1,1,1,1,1
16,NNW,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,m/s,1,1,1,1,1
