station_Id,stationName,lat,long
1,คลังก๊าซเขาบ่อยา,NULL,NULL
2,ชุมชนบ้านแหลมฉบัง,NULL,NULL
3,คลังน้ำมันศรีราชา,NULL,NULL
4,บ่อ API (คลังก๊าซเขาบ่อยา),NULL,NULL
5,บ่อสามเหลี่ยม (คลังก๊าซเขาบ่อยา),NULL,NULL
6,บ่อพักน้ำสุดท้ายของระบบบำบัดน้ำเสียในคลังน้ำมันศรีราชา,NULL,NULL
7,จุดระบายน้ำก่อนออกนอกคลังน้ำมันศรีราชา,NULL,NULL
8,หน้าท่าเทียบเรือขนส่งน้ำมัน คลังน้ำมันศรีราชา,NULL,NULL
9,บริเวณหน้าท่าเทียบเรือกลางทะเล หมายเลข 4 คลังน้ำมันศรีราชา,NULL,NULL
10,หน้าท่าเทียบเรือขนส่งก๊าซ คลังก๊าซเขาบ่อยา,NULL,NULL
11,"ห่างจากท่าเทียบเรือ 1, 2 และ 3 ไปทางทิศใต้ 1 กิโลเมตร",NULL,NULL
