sub_Id,subName,main_id
1,ผลการตรวจวัดทิศทางและความเร็วลมเฉลี่ยรายชั่วโมง,1
2,ผลการตรวจวัดคุณภาพอากาศในบรรยากาศ,1
3,ผลการตรวจวัดค่าความเข้มข้นของก๊าซซัลเฟอร์ไดออกไซด์ในบรรยากาศ,1
4,ผลการตรวจวัดสารอินทรีย์ระเหยง่ายในบรรยากาศ,1
5,ผลการตรวจวัดคุณภาพอากาศภายในสถานประกอบการ,2
6,ผลการตรวจวัดระดับเสียงโดยทั่วไป,3
7,ผลการตรวจวัดคุณภาพเสียง 90,3
8,ผลการติดตามตรวจสอบ,3
9,ผลการตรวจวัดคุณภาพน้ำทิ้ง,4
10,ผลการตรวจวัดคุณภาพน้ำทะเล,5
11,ผลการสำรวจชนิด ปริมาณ และความหนาแน่นของแพลงก์ตอนพืช,6
12,ผลการสำรวจชนิด ปริมาณ และความหนาแน่นของแพลงก์ตอนสัตว์,6
13,ผลการสำรวจชนิด ปริมาณ และความหนาแน่นของสัตว์หน้าดิน,6
14,ผลการสำรวจชนิด ปริมาณ และความหนาแน่นของลูกปลาและไข่ปลา,6
15,ผลการสำรวจชนิด ปริมาณ และความหนาแน่นของสัตว์น้ำวัยอ่อน,6
